country,firm,sector,revenue,year,risk
China,Meituan,Information Technology,93.17,2023,-0.046849836533344874
China,PetroChina,Energy,218.98,2016,1.2871675313244377
China,Pinduoduo,Information Technology,176.94,2018,-0.00411152863023441
China,Pinduoduo,Information Technology,176.94,2019,-0.19206898844726827
China,Pinduoduo,Information Technology,176.94,2020,0.3697907347062581
China,Pinduoduo,Information Technology,176.94,2021,1.2356041019499187
China,Pinduoduo,Information Technology,176.94,2022,0.44110751032990964
China,Pinduoduo,Information Technology,176.94,2023,0.6737108173929366
China,PingAn Insurance,Financial Service,100.07,2014,-0.8542918008764413
China,PingAn Insurance,Financial Service,100.07,2015,-0.6622089268100254
China,PingAn Insurance,Financial Service,100.07,2016,-0.8908349711522002
China,PingAn Insurance,Financial Service,100.07,2017,-0.8372671461432573
China,PingAn Insurance,Financial Service,100.07,2018,-0.8396520170623326
China,PingAn Insurance,Financial Service,100.07,2019,-0.7225772344259216
China,PingAn Insurance,Financial Service,100.07,2020,-0.8055810824382886
China,PingAn Insurance,Financial Service,100.07,2021,-0.9223094212201443
China,PingAn Insurance,Financial Service,100.07,2022,-0.8065708030904283
China,PingAn Insurance,Financial Service,100.07,2023,-0.8460965185752203
China,Sinopec,Energy,104.55,2014,-0.8449188073552693
China,Sinopec,Energy,104.55,2016,-0.8254134128012945
China,Sinopec,Energy,104.55,2018,-0.783873576974449
China,Sinopec,Energy,104.55,2019,-0.799382753790865
China,Sinopec,Energy,104.55,2020,-0.7959667654924251
China,Sinopec,Energy,104.55,2022,-0.8152170067805334
China,Sinopec,Energy,104.55,2023,-0.8209181588207736
China,Tencent,Information Technology,428.32,2014,-0.4930316939797543
China,Tencent,Information Technology,428.32,2015,-0.3239218968776197
China,Tencent,Information Technology,428.32,2016,-0.9013946201234267
China,Tencent,Information Technology,428.32,2017,-0.5599504705653209
China,Tencent,Information Technology,428.32,2018,-0.7513098170408956
China,Tencent,Information Technology,428.32,2019,-0.5684858154443782
China,Tencent,Information Technology,428.32,2020,-0.5496020929570135
China,Tencent,Information Technology,428.32,2021,-0.21990693295802616
China,Tencent,Information Technology,428.32,2022,-0.47048263220935815
China,Tencent,Information Technology,428.32,2023,-0.4172364489037261
Germany,Adidas,Consumer Discretionary,244.57,2014,-1.0799646251614032
Germany,Adidas,Consumer Discretionary,244.57,2015,-1.1628342364780777
Germany,Adidas,Consumer Discretionary,244.57,2017,-1.0050622293691018
Germany,Adidas,Consumer Discretionary,244.57,2019,-1.028504957666621
Germany,Adidas,Consumer Discretionary,244.57,2020,-1.0427971588094205
Germany,Adidas,Consumer Discretionary,244.57,2022,-0.8495184416164585
Germany,Adidas,Consumer Discretionary,244.57,2023,-0.5909481389372218
Germany,Allianz,Financial Service,106.68,2014,-0.1692296722094761
Germany,Allianz,Financial Service,106.68,2015,-0.2836861382109018
Germany,Allianz,Financial Service,106.68,2016,-0.7622308906520021
Germany,Allianz,Financial Service,106.68,2017,-0.5041541943378917
Germany,Allianz,Financial Service,106.68,2018,1.3473463531405887
Germany,Allianz,Financial Service,106.68,2019,-0.5533994100992478
Germany,Allianz,Financial Service,106.68,2020,0.004444037338207686
Germany,Allianz,Financial Service,106.68,2021,-1.1888186572500827
Germany,Allianz,Financial Service,106.68,2023,-0.09481191913710257
Germany,BASF,Industries,42.93,2014,-0.6468951683706254
Germany,BASF,Industries,42.93,2015,-0.4197928892879704
Germany,BASF,Industries,42.93,2016,-0.6439070926954815
Germany,BASF,Industries,42.93,2017,-0.7741815058726133
Germany,BASF,Industries,42.93,2018,-0.6949070213681717
Germany,BASF,Industries,42.93,2019,-0.3114265177677856
Germany,BASF,Industries,42.93,2020,-0.7528431052517108
Germany,BASF,Industries,42.93,2021,-0.30621273512506475
Germany,BASF,Industries,42.93,2022,-0.7167961259743062
Germany,BASF,Industries,42.93,2023,-0.7477023642711833
Germany,BMW,Industries,55.03,2014,-0.6327033427916666
Germany,BMW,Industries,55.03,2015,-0.9403098852426479
Germany,BMW,Industries,55.03,2016,-1.0577770006808382
Germany,BMW,Industries,55.03,2017,-0.574563427670481
Germany,BMW,Industries,55.03,2018,-0.9519741454784422
Germany,BMW,Industries,55.03,2019,-0.5916731561963078
Germany,BMW,Industries,55.03,2020,-1.0110591020194388
Germany,BMW,Industries,55.03,2021,-0.5935942972234838
Germany,BMW,Industries,55.03,2022,-0.8096113887439639
Germany,BMW,Industries,55.03,2023,-0.6313368531923901
Germany,Beiersdorf,Consumer Staples,32.13,2014,-0.3785373556884987
Germany,Beiersdorf,Consumer Staples,32.13,2015,-0.9893660445166411
Germany,Beiersdorf,Consumer Staples,32.13,2016,-0.7966443911870864
Germany,Beiersdorf,Consumer Staples,32.13,2017,-1.039170481534412
Germany,Beiersdorf,Consumer Staples,32.13,2019,-0.988867009427128
Germany,Beiersdorf,Consumer Staples,32.13,2020,-1.022723389130663
Germany,Beiersdorf,Consumer Staples,32.13,2021,-0.9269865202342008
Germany,Beiersdorf,Consumer Staples,32.13,2022,-0.8567245260763072
Germany,Beiersdorf,Consumer Staples,32.13,2023,-0.9071038829323931
Germany,DHL Group,Industries,49.82,2014,-0.537819235296772
Germany,DHL Group,Industries,49.82,2015,-0.1893912150853229
Germany,DHL Group,Industries,49.82,2017,-0.3707410747249405
Germany,DHL Group,Industries,49.82,2018,-1.0140595176772202
Germany,DHL Group,Industries,49.82,2019,-0.21167504984953736
Germany,DHL Group,Industries,49.82,2020,-0.20066894396937643
Germany,DHL Group,Industries,49.82,2021,-1.082875170147608
Germany,DHL Group,Industries,49.82,2022,-0.6138557988375046
Germany,DHL Group,Industries,49.82,2023,-0.5902979084602916
Germany,Deutsche Börse,Financial Service,41.91,2015,-0.20718621778038276
Germany,Deutsche Börse,Financial Service,41.91,2017,-0.5632727736420174
Germany,Deutsche Börse,Financial Service,41.91,2018,-0.8864880343474648
Germany,Deutsche Börse,Financial Service,41.91,2019,-0.4068831784345945
Germany,Deutsche Börse,Financial Service,41.91,2020,-0.42622647222303384
Germany,Deutsche Börse,Financial Service,41.91,2021,-0.9564468169618183
Germany,Deutsche Börse,Financial Service,41.91,2023,-0.7193126828948082
Germany,Hannover Rück,Financial Service,33.67,2014,-0.18195379366361078
Germany,Hannover Rück,Financial Service,33.67,2015,0.4538383912549636
Germany,Hannover Rück,Financial Service,33.67,2017,0.19019197281356112
Germany,Hannover Rück,Financial Service,33.67,2019,-0.0547366269706611
Germany,Hannover Rück,Financial Service,33.67,2020,0.42877509593828456
Germany,Hannover Rück,Financial Service,33.67,2022,-0.28166221952556936
Germany,Hannover Rück,Financial Service,33.67,2023,0.5265851298805139
Germany,Henkel,Consumer Staples,35.64,2014,-0.9078968469170913
Germany,Henkel,Consumer Staples,35.64,2015,-0.9479777607829648
Germany,Henkel,Consumer Staples,35.64,2017,-0.6444411239071465
Germany,Henkel,Consumer Staples,35.64,2018,-0.7290845853868502
Germany,Henkel,Consumer Staples,35.64,2019,-0.8787353931608382
Germany,Henkel,Consumer Staples,35.64,2020,-0.7367872043323026
Germany,Henkel,Consumer Staples,35.64,2021,-0.9211129089319113
Germany,Henkel,Consumer Staples,35.64,2023,-0.2539322415501617
Germany,Infineon,Industries,41.66,2014,-0.39718014211816305
Germany,Infineon,Industries,41.66,2015,-0.362039940203546
Germany,Infineon,Industries,41.66,2016,-0.5589756305719138
Germany,Infineon,Industries,41.66,2017,-0.47186838635831324
Germany,Infineon,Industries,41.66,2018,-0.46882744359762174
Germany,Infineon,Industries,41.66,2019,-0.2787139099607758
Germany,Infineon,Industries,41.66,2020,-0.3972623276330876
